epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6993,2.34537,3.44069,1.97988,0.00338,0.61877,0.01185,0.00299,2.58928,3.57809,2.10602,0.00065812,0.00065812,0.00065812
2,20.6823,2.41369,3.23332,2.06561,0.11883,0.10264,0.03686,0.01245,2.87931,3.76451,2.55079,0.00129856,0.00129856,0.00129856
3,28.5921,2.56332,3.18776,2.04488,0.08988,0.08211,0.02933,0.00755,2.75334,3.38128,2.43031,0.00191259,0.00191259,0.00191259
4,36.3586,2.52898,3.1092,2.09639,0.01755,0.03812,0.00482,0.00135,2.97983,10.052,2.67488,0.0018812,0.0018812,0.0018812
5,44.0719,2.49769,2.97995,2.06403,0.12027,0.07625,0.03271,0.011,2.80482,3.41645,2.45413,0.0018416,0.0018416,0.0018416
6,51.8042,2.40786,2.95323,2.04134,0.07344,0.12317,0.03244,0.00922,2.82307,3.6022,2.38958,0.001802,0.001802,0.001802
7,59.5373,2.43587,2.87319,2.03804,0.08249,0.15836,0.0355,0.01058,2.70348,5.48081,2.38289,0.0017624,0.0017624,0.0017624
8,67.3126,2.43264,2.88309,2.04005,0.11068,0.1173,0.05414,0.01516,2.7143,3.30838,2.21665,0.0017228,0.0017228,0.0017228
9,75.0872,2.40717,2.81099,1.99346,0.19063,0.12317,0.07427,0.02667,2.62409,2.96842,2.19003,0.0016832,0.0016832,0.0016832
10,82.8551,2.27216,2.65608,1.90491,0.11489,0.14922,0.07431,0.02559,2.58704,3.04895,2.16568,0.0016436,0.0016436,0.0016436
11,90.8711,2.33735,2.62903,1.95689,0.17715,0.25506,0.11711,0.03892,2.59972,2.76974,2.18257,0.001604,0.001604,0.001604
12,98.6111,2.21089,2.5888,1.89136,0.21588,0.13196,0.09626,0.03464,2.67045,2.9147,2.19352,0.0015644,0.0015644,0.0015644
13,106.234,2.28519,2.57618,1.92165,0.27198,0.20235,0.12922,0.03975,2.57389,2.81165,2.10868,0.0015248,0.0015248,0.0015248
14,113.936,2.22546,2.52367,1.89539,0.21062,0.18475,0.11143,0.03791,2.52938,2.65294,2.1181,0.0014852,0.0014852,0.0014852
15,121.621,2.17282,2.49407,1.8436,0.24676,0.20528,0.13403,0.04254,2.4993,2.67893,2.09534,0.0014456,0.0014456,0.0014456
16,129.35,2.14627,2.39297,1.82458,0.30137,0.22287,0.14773,0.05299,2.47641,2.5763,2.0756,0.001406,0.001406,0.001406
17,137.196,2.15445,2.41212,1.84818,0.2553,0.21408,0.14248,0.05006,2.46247,2.61809,2.14731,0.0013664,0.0013664,0.0013664
18,145.082,2.12349,2.37051,1.82301,0.26065,0.20821,0.13425,0.04435,2.5246,2.64909,2.12172,0.0013268,0.0013268,0.0013268
19,157.838,2.08501,2.31755,1.81516,0.34804,0.20821,0.16884,0.05587,2.47736,2.59934,2.13503,0.0012872,0.0012872,0.0012872
20,165.471,2.08998,2.30875,1.80452,0.22403,0.23167,0.15486,0.04726,2.47705,2.74227,2.05938,0.0012476,0.0012476,0.0012476
21,172.98,2.05906,2.27043,1.74036,0.26529,0.24566,0.14965,0.05392,2.41437,2.48307,2.04389,0.001208,0.001208,0.001208
22,182.996,2.0319,2.1583,1.73607,0.30677,0.24138,0.1748,0.06187,2.44454,2.44736,2.0513,0.0011684,0.0011684,0.0011684
23,202.578,2.0424,2.2606,1.76889,0.30617,0.2434,0.17975,0.06758,2.45563,2.50063,2.04658,0.0011288,0.0011288,0.0011288
24,217.968,2.01985,2.19646,1.7346,0.34989,0.27273,0.20575,0.07028,2.38955,2.42148,2.00582,0.0010892,0.0010892,0.0010892
25,225.783,2.00262,2.14898,1.71538,0.3498,0.26979,0.20602,0.07484,2.40138,2.47255,1.99723,0.0010496,0.0010496,0.0010496
26,233.933,1.95632,2.13571,1.69943,0.27734,0.24927,0.16725,0.05868,2.41869,2.43835,2.01081,0.00101,0.00101,0.00101
27,241.856,1.95435,2.07883,1.69496,0.32406,0.27859,0.2041,0.06635,2.41869,2.41598,2.04844,0.0009704,0.0009704,0.0009704
28,249.641,1.86531,1.98668,1.67575,0.35977,0.28446,0.24715,0.08214,2.39637,2.43177,2.03811,0.0009308,0.0009308,0.0009308
29,257.36,1.94693,2.03501,1.66979,0.3281,0.31361,0.20344,0.06954,2.4425,2.32785,2.09197,0.0008912,0.0008912,0.0008912
30,265.172,1.90194,1.95086,1.65554,0.33431,0.24927,0.19623,0.07245,2.42922,2.36271,2.08038,0.0008516,0.0008516,0.0008516
31,272.909,1.8944,1.93496,1.62801,0.28266,0.32258,0.20996,0.07207,2.4272,2.39567,2.02958,0.000812,0.000812,0.000812
32,280.638,1.85451,1.92986,1.63594,0.38255,0.28446,0.24298,0.08345,2.42929,2.29072,2.04327,0.0007724,0.0007724,0.0007724
33,288.293,1.87674,1.92122,1.6639,0.36703,0.24927,0.20963,0.07783,2.46137,2.3583,2.01466,0.0007328,0.0007328,0.0007328
34,295.951,1.80448,1.82539,1.60907,0.38313,0.31327,0.24931,0.08968,2.42443,2.27456,2.06676,0.0006932,0.0006932,0.0006932
35,303.718,1.81807,1.84514,1.60531,0.34898,0.32551,0.24269,0.09041,2.42953,2.32243,2.04885,0.0006536,0.0006536,0.0006536
36,311.426,1.85565,1.81915,1.63311,0.39535,0.27273,0.23259,0.08459,2.39844,2.2359,2.04261,0.000614,0.000614,0.000614
37,319.182,1.78823,1.77304,1.57906,0.34936,0.31378,0.24222,0.09196,2.4349,2.26765,2.06622,0.0005744,0.0005744,0.0005744
38,326.838,1.74097,1.73862,1.55231,0.43172,0.31636,0.26238,0.09445,2.41391,2.2048,2.06454,0.0005348,0.0005348,0.0005348
39,334.549,1.81628,1.80272,1.60351,0.39826,0.31965,0.24856,0.08529,2.44176,2.3412,2.07571,0.0004952,0.0004952,0.0004952
40,342.18,1.76028,1.71546,1.55378,0.39603,0.29997,0.24064,0.09012,2.41748,2.23961,2.03405,0.0004556,0.0004556,0.0004556
41,379.506,1.83781,1.82767,1.60652,0.35189,0.30792,0.23801,0.09267,2.42225,2.22375,2.01602,0.000416,0.000416,0.000416
42,387.288,1.7523,1.62717,1.56251,0.40304,0.29326,0.23842,0.08475,2.4476,2.28796,2.08032,0.0003764,0.0003764,0.0003764
43,394.965,1.70277,1.62535,1.54764,0.36944,0.29619,0.2294,0.08946,2.45252,2.23255,2.09121,0.0003368,0.0003368,0.0003368
44,402.735,1.7009,1.62021,1.53943,0.43581,0.30205,0.24985,0.08612,2.49976,2.25555,2.1379,0.0002972,0.0002972,0.0002972
45,410.655,1.69286,1.56208,1.52949,0.38006,0.32002,0.25274,0.09592,2.44426,2.18739,2.10982,0.0002576,0.0002576,0.0002576
46,425.222,1.63418,1.50421,1.50104,0.39059,0.33724,0.25606,0.09752,2.42185,2.21259,2.0843,0.000218,0.000218,0.000218
47,443.222,1.62782,1.43344,1.48348,0.39692,0.32619,0.25072,0.09175,2.43773,2.23854,2.11316,0.0001784,0.0001784,0.0001784
48,459.081,1.61698,1.46643,1.49035,0.40976,0.32258,0.25032,0.09624,2.43814,2.21097,2.08785,0.0001388,0.0001388,0.0001388
49,466.72,1.59954,1.40894,1.46842,0.45203,0.31672,0.25886,0.09922,2.43965,2.2011,2.10443,9.92e-05,9.92e-05,9.92e-05
50,474.459,1.61666,1.42392,1.50721,0.42341,0.34897,0.26473,0.09838,2.44342,2.19695,2.09315,5.96e-05,5.96e-05,5.96e-05
